seed,model,accuracy,weighted_f1,macro_f1,macro_recovery
42,Random Forest,0.7894736842105263,0.789809679574075,0.7747475959402051,0.6380897297574133
42,MLP,0.8052631578947368,0.8055431156471816,0.7913963508337013,0.6604641894747425
1,Random Forest,0.7763157894736842,0.7739393097684284,0.7486877311429722,0.6065441557167254
1,MLP,0.7973684210526316,0.7969181254523747,0.7732938340966337,0.6360485223862221
7,Random Forest,0.7605263157894737,0.75749743281004,0.7296345215391632,0.5832551283017701
7,MLP,0.8,0.7999481366411025,0.7930783418876349,0.6608112603417146
13,Random Forest,0.7947368421052632,0.7919297150335617,0.7717003630306706,0.6352162979889752
13,MLP,0.7736842105263158,0.773702853840397,0.748862712610701,0.6067007173500082
99,Random Forest,0.7763157894736842,0.7698430515762058,0.7269812542493453,0.5919922967788203
99,MLP,0.8263157894736842,0.8261306214553,0.8148761958388674,0.6922655260180856
